end-easy	Test_L3_R1	1	2252576253462244111563365343671351441	-1	-1000,-1000,-1000,-1000,-1000,-1,-2
end-easy	Test_L3_R1	2	7422341735647741166133573473242566	1	-3,1,-1000,-1000,-4,1,-1000
end-easy	Test_L3_R1	3	23163416124767223154467471272416755633	0	-1000,-1000,0,-1000,-2,-1000,-1000
end-easy	Test_L3_R1	4	71255763773133525731261364622167124446454	0	-1000,-1000,-1000,-1000,0,-1000,-1000
end-easy	Test_L3_R1	5	65214673556155731566316327373221417	-1	-1000,-2,-1000,-1,-1000,-1000,-2
end-easy	Test_L3_R1	6	52677675164321472411331752454	0	-1,0,0,0,-4,0,0
end-easy	Test_L3_R1	7	3135151421347443544172316522225776773566	0	-1000,-1000,-1000,-1000,-1000,0,-1000
end-easy	Test_L3_R1	8	562154564361751726662253737734213275114	0	-1000,-1000,-1,0,-1000,-1000,-1000
end-easy	Test_L3_R1	9	233377345754465174223731671122611552	1	-1000,-1000,-1000,1,1,0,-1000
end-easy	Test_L3_R1	10	6763525635134453444361412671365712	-1	-4,-1,-1000,-1000,-4,-1000,-4
end-easy	Test_L3_R1	11	211376455663355325112113664364524722	0	-1000,-1000,-1000,0,-1000,-1000,-3
end-easy	Test_L3_R1	12	3146762114467714356347741621375222	-1	-1000,-1,-1,-1000,-1,-1,-1000
end-easy	Test_L3_R1	13	67152117737262713366376314254	6	-5,-5,-5,-1,6,-5,-1000
end-easy	Test_L3_R1	14	2762751722231276466633475674533	5	-5,-1000,-4,5,4,-1000,-1000
end-easy	Test_L3_R1	15	3642756176227637211322113551637574556	2	-1000,-1000,2,-2,-1000,-1000,-1000
end-easy	Test_L3_R1	16	22647455554314246733661634615122372377511	0	-1000,-1000,-1000,-1000,-1000,-1000,0
end-easy	Test_L3_R1	17	427566236745127177115664464254	2	2,2,1,-1000,2,-1000,2
end-easy	Test_L3_R1	18	7172212567451542223676134464437761515	0	-1000,-1000,0,-1000,0,0,-1000
end-easy	Test_L3_R1	19	641154574541323641152467137655232232366	0	-1000,-1000,-1000,-1000,-1000,-1000,0
end-easy	Test_L3_R1	20	5775265212657176476365522624313714333	2	1,-1000,-1000,2,-1000,-1000,-1000
end-easy	Test_L3_R1	21	3575316255751336464276636772271112	-3	-3,-3,-3,-4,-3,-1000,-1000
end-easy	Test_L3_R1	22	75662564375666511575212332122171447733	1	-1000,-1000,1,-2,-1000,-1000,-1000
end-easy	Test_L3_R1	23	3576127617575661522124647446257235344113	0	-1000,-1000,0,-1000,-1000,-1000,-1000
end-easy	Test_L3_R1	24	655651721435342216255374674123	4	-1,-1,4,0,-1000,0,-1
end-easy	Test_L3_R1	25	335413424327172446337172625415575517	1	-3,1,-1000,-1000,-1000,-3,-1000
end-easy	Test_L3_R1	26	12156756715535615116237724723	-2	-1000,-2,-2,-6,-1000,-2,-2
end-easy	Test_L3_R1	27	4744236462134233111155374771566655522	-1	-1000,-2,-2,-1000,-1000,-2,-1
end-easy	Test_L3_R1	28	144324431445513573673777361765615215226	0	-1000,-1,-1000,-1000,-1000,0,-1000
end-easy	Test_L3_R1	29	466337133772221726726511133452571	0	-1000,-1000,-1000,-3,0,0,-1000
end-easy	Test_L3_R1	30	5577777735365512235162362241426611	-3	-4,-1000,-4,-3,-1000,-4,-1000
end-easy	Test_L3_R1	31	6274476136716665132411555412333345	0	-1000,0,-1000,0,0,-1000,0
end-easy	Test_L3_R1	32	2166166176633734115273317322475724	-2	-1000,-2,-1000,-3,-4,-1000,-1000
end-easy	Test_L3_R1	33	3432357517256661231652672362571175	3	-4,-1000,-4,3,-1000,-1000,-4
end-easy	Test_L3_R1	34	26512741647245111351472255277	-5	-1000,-1000,-5,-6,-6,-6,-6
end-easy	Test_L3_R1	35	3414355576455177144321543311672273	-2	-1000,-2,-1000,-1000,-1000,-4,-4
end-easy	Test_L3_R1	36	112471523663662675764743257544335112741	0	-1000,0,0,-1000,0,-1000,-1000
end-easy	Test_L3_R1	37	24555313265147651622632244317534477	3	-3,-1000,-3,-1000,-1000,-3,3
end-easy	Test_L3_R1	38	5512371662253342337574526766763245	3	-4,-1000,-1000,3,-1000,-1000,-4
end-easy	Test_L3_R1	39	27573772361321663724362213661574	2	-5,-1000,-1000,-5,2,-1000,-1000
end-easy	Test_L3_R1	40	3336513263356226156221176142517577574	2	-1000,-1000,-1000,-1,-1000,-1000,2
end-easy	Test_L3_R1	41	6216633712715125334265163163777225	-3	-1000,-1000,-1000,-4,-3,-1000,-4
end-easy	Test_L3_R1	42	735425274762537661575175136212214614443	1	-1000,-1000,-1,-1000,-1000,1,-1000
end-easy	Test_L3_R1	43	67652627754667711122263741251355513444433	0	-1000,-1000,0,-1000,-1000,-1000,-1000
end-easy	Test_L3_R1	44	3324524346452572767551333257727114	0	-4,-1000,-1000,-4,-1000,0,-1000
end-easy	Test_L3_R1	45	47344144255311355215566613617433267622277	0	-1000,-1000,-1000,-1000,-1000,-1000,0
end-easy	Test_L3_R1	46	5711457417462173563673656226153335724441	0	-1000,0,-1000,-1000,-1000,-1000,-1000
end-easy	Test_L3_R1	47	7174362564676726631735257252323	-4	-5,-1000,-4,-5,-5,-1000,-1000
end-easy	Test_L3_R1	48	6213724444421524673215767767233	0	0,-1000,-5,-1000,-5,-5,-1000
end-easy	Test_L3_R1	49	74335434411656772367437345716111256622255	0	-1000,0,-1000,-1000,-1000,-1000,-1000
end-easy	Test_L3_R1	50	12513736213523127714633572657256	-4	-4,-1000,-1000,-5,-4,-4,-4
end-easy	Test_L3_R1	51	33345517452154243637525163177771661442	0	-1000,0,-1000,-1000,-1000,0,-1000
end-easy	Test_L3_R1	52	4242255734462136735555743337711172114266	0	-1000,-1000,-1000,-1000,-1000,0,-1000
end-easy	Test_L3_R1	53	47715713331437527153255735112	0	-1000,-5,-1000,0,-1000,-1,-1000
end-easy	Test_L3_R1	54	75345112462162112542645517445723663673	0	-1000,-1000,0,-1000,-1000,-1000,0
end-easy	Test_L3_R1	55	345272112577424477722116144566361353335	0	-1000,-1000,-1000,-1000,-1,0,-1000
end-easy	Test_L3_R1	56	7235431667532555335366227767122741	3	-2,-1000,-1000,3,-1000,1,-1000
end-easy	Test_L3_R1	57	3515655547334632573462442436722717672611	0	0,-1000,-1000,-1000,-1000,-1000,-1000
end-easy	Test_L3_R1	58	5114752266375176254672271463763	5	-1,-1,5,5,-1,-1000,-1000
end-easy	Test_L3_R1	59	26226627217273417775416514661414455	-2	-1000,-1000,-3,-1000,-2,-1000,-1000
end-easy	Test_L3_R1	60	75671334317317336771215665546	-4	-6,-6,-1000,-4,-6,-6,-1000
end-easy	Test_L3_R1	61	171231226144413625631766635232354	0	-1000,-1000,-1000,-2,0,-1000,-4
end-easy	Test_L3_R1	62	316775734112511514276652774525666433324	0	-1000,-1,-1,0,-1000,-1000,-1000
end-easy	Test_L3_R1	63	671337313517162274736137166625	2	-1000,-6,-1000,2,-6,-1000,-1000
end-easy	Test_L3_R1	64	724426633665427464467135277713322	-3	-3,-1000,-4,-1000,-4,-1000,-1000
middle-easy	Test_L2_R1	1	5554224333234511764415115	4	-8,-8,-8,-8,-1000,4,-8
middle-easy	Test_L2_R1	2	52753311433677442422121	8	2,3,7,7,8,7,2
middle-easy	Test_L2_R1	3	1233722555341451114725221333	-1	-1000,-1000,-1000,-1,-1,-1,-1
middle-easy	Test_L2_R1	4	271713432331713132	-11	-11,-12,-1000,-12,-12,-12,-12
middle-easy	Test_L2_R1	5	6672375354252731116762237724	-2	-6,-1000,-6,-6,-2,-2,-1000
middle-easy	Test_L2_R1	6	763452543756455357732314	-8	-9,-9,-8,-9,-1000,-9,-9
middle-easy	Test_L2_R1	7	662222576343651642712157	8	1,-1000,-8,8,3,1,7
middle-easy	Test_L2_R1	8	3455565261655364217	-10	-11,-11,-11,-11,-1000,-10,-11
middle-easy	Test_L2_R1	9	4661237137541742643224	8	-10,-10,8,-10,-10,-10,-10
middle-easy	Test_L2_R1	10	21253774536432517717274325	2	2,-8,-8,-8,-8,-8,-1000
middle-easy	Test_L2_R1	11	715371563635542612576371	3	3,2,3,-9,3,3,3
middle-easy	Test_L2_R1	12	4435612735531457155143	-5	-10,-10,-10,-10,-1000,-5,-10
middle-easy	Test_L2_R1	13	3457741246677474572223453551	5	-7,-7,5,-1000,-7,-7,-1000
middle-easy	Test_L2_R1	14	754732466173162124726115261	7	-1000,-7,-7,-7,7,-7,-7
middle-easy	Test_L2_R1	15	64115442265757253615	10	-8,9,10,-11,-8,7,-9
middle-easy	Test_L2_R1	16	34651743747475571565	-9	-11,-9,-11,-11,-11,-11,-11
middle-easy	Test_L2_R1	17	36127316172165452675422251	7	0,-1000,7,7,0,0,0
middle-easy	Test_L2_R1	18	4235245615377275211512	-7	-10,-10,-10,-10,-7,-10,-10
middle-easy	Test_L2_R1	19	122435527534575161761	10	-1,0,10,10,-2,-2,-2
